Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
134,10301008,"ผ้าปูที่นอน72x110""/146 พิมพ์ชื่อ รพ.",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
135,10301009,"ผ้าขวางเตียง 42""x72""/210 พิมพ์ชื่อ รพ.",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
136,10301010,"ปลอกหมอน 18x28x6""/210 พิมพ์ชื่อ รพ.",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
137,10301011,"ผ้าเช็ดเท้า16x25""(7P)ด้ายคู่ พิมพ์ รพ.",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
138,10301013,หมอนใยสังเคราะห์ นน.700 กรัม,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
139,10301014,หมอนใยสังเคราะห์ นน.1400 กรัม,1030,MAT_BUY,EA,,,0,0,0,0,0,เก็บชั้น 11 (24),,0,0,0,
140,10301016,ชุดผู้ป่วย Size:XXL พิมพ์ชื่อ รพ.,1030,MAT_BUY,SET,,,0,0,0,0,0,,,0,0,0,
141,10301034,ถังทิ้งเข็มฉีดยาทรงกลม 13x21 cm สีแดง,1030,MAT_BUY,EA,,,20,0,20,0,0,,11(30)/สต(30),8,20,28,
142,10301035,ผ้าเช็ดชนิดแห้ง Kleenex soft wipe (1:60),1030,MAT_BUY,PAC,,,24,0,0,24,24,,11,200,0,200,
143,10301057,กระดาษชำระอนามัย 2 ชั้น 150 แผ่น,1030,MAT_BUY,PAC,,,0,0,0,0,0,,,0,0,0,
144,10301058,ถุงขยะแดง(ขยะติดเชื้อ) ขนาด 20x20 นิ้ว,1030,MAT_BUY,KG,ตค 68,25,5,25,25,5,5,,ปช(5),10,25,35,
145,10301059,ถุงขยะแดง(ขยะติดเชื้อ) ขนาด 24x28 นิ้ว,1030,MAT_BUY,KG,ตค 68,25,5,25,25,5,5,,ปช(20)/สต(25),10,25,35,
146,10301060,ถุงขยะแดง(ขยะติดเชื้อ) ขนาด 30x40 นิ้ว,1030,MAT_BUY,KG,ตค 68,25,5,25,25,5,5,,ปช(20)/สต(25),10,25,35,
147,10301069,ถังขยะพลาสติกแบบเท้าเหยียบ 27 ลิตร,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
148,10301070,ถังขยะพลาสติกแบบเท้าเหยียบ 32 ลิตร,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
149,10601825,"หมึกพิมพ์ Samsung M3820ND,MLT-D203E",1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
